modulation_type,symbol,magnitude,phase,real,imag,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean,scd_max
64apsk,(0.2882648930122678+0.49928944073565434j),0.5765297860245355,1.0471975511965976,0.2882648930122678,0.49928944073565434,0.3166494974991135,0.0061599503209045095,0.25314538596378533,0.29230997272855663,0.157208188865006,0.3166494974991134,0.3166494974991136
8apsk,(0.40689422938557973+0j),0.40689422938557973,0.0,0.40689422938557973,0.0,0.32773489697688823,0.013884993555191212,0.2142160176079407,0.25237926796108706,0.14222945811144788,0.3277348969768883,0.3277348969768884
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,-1.0,-1.0,0.6229948116273603,0.010157523120623029,0.42905322979329125,0.48549294653303643,0.2558997913159755,0.6229948116273603,0.6229948116273605
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,-1.0,-1.0,0.6280833136959734,0.015296766199428583,0.40274457443429373,0.45756467747778734,0.25957934610736194,0.6280833136959734,0.6280833136959736
8apsk,(0.40689422938557973+0j),0.40689422938557973,0.0,0.40689422938557973,0.0,0.30017047823310194,0.003398910229811542,0.20608230053482,0.21559433560569227,0.09814413367504803,0.300170478233102,0.30017047823310206
256apsk,(0.4552476001811838-0.5708624344433331j),0.7301604594397698,-0.8975979010256554,0.4552476001811838,-0.5708624344433331,0.3094478409010683,7.369154991624502e-05,0.2301853511588072,0.2785013505090073,0.13019884823037184,0.30944784090106836,0.3094478409010684
32apsk,(-0.7744391624998321+9.484144414897763e-17j),0.7744391624998321,3.141592653589793,-0.7744391624998321,9.484144414897763e-17,0.3250597818096585,0.0027326517500635633,0.2568048326631307,0.28833564074652296,0.12859890567892382,0.3250597818096584,0.32505978180965855
8apsk,(0.40689422938557973+0j),0.40689422938557973,0.0,0.40689422938557973,0.0,0.30017047823310194,0.003398910229811542,0.20608230053482,0.21559433560569227,0.09814413367504803,0.300170478233102,0.30017047823310206
128apsk,(-0.41568733062616203+0.5721445264427728j),0.7072095276376931,2.199114857512855,-0.41568733062616203,0.5721445264427728,0.30130914466991376,0.02615045675804235,0.24546803944396928,0.24265341371698929,0.09641097730971744,0.30130914466991376,0.30130914466991393
8apsk,(-0.23541045825521667-1.0314006079876599j),1.0579249964025075,-1.7951958020513106,-0.23541045825521667,-1.0314006079876599,0.32773489697688823,0.013884993555191212,0.2142160176079407,0.25237926796108706,0.14222945811144788,0.3277348969768883,0.3277348969768884
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,-1.0,-1.0,0.6229948116273603,0.010157523120623029,0.42905322979329125,0.48549294653303643,0.2558997913159755,0.6229948116273603,0.6229948116273605
qpsk,(1+1j),1.4142135623730951,0.7853981633974483,1.0,1.0,0.6983144505510692,0.12717226282817456,0.3449266902281711,0.5109390315992723,0.40593780331851936,0.6983144505510692,0.6983144505510694
32apsk,(7.569076792658791e-17+1.2361240478362705j),1.2361240478362705,1.5707963267948966,7.569076792658791e-17,1.2361240478362705,0.346004570208564,0.016470024115385118,0.2674996512802489,0.2943844949898943,0.14876049807723052,0.346004570208564,0.3460045702085641
64apsk,(0.6996335919858018+0.5083135585988356j),0.8647946790368032,0.6283185307179586,0.6996335919858018,0.5083135585988356,0.3266273870959923,0.03352407070462116,0.17400617203643182,0.20819971258630987,0.12449020481887019,0.32662738709599237,0.3266273870959925
bpsk,(-1+0j),1.0,3.141592653589793,-1.0,0.0,0.2689962188270193,0.05998290756374857,0.26831417569605603,0.25903113428796004,0.09824975092738909,0.26899621882701924,0.2689962188270194
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,-1.0,1.0,0.6026363796800502,0.053157999158866924,0.4788406377031405,0.47980324293281007,0.1885990807165601,0.6026363796800503,0.6026363796800505
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,-1.0,1.0,0.6229948116273603,0.010157523120623029,0.42905322979329125,0.48549294653303643,0.2558997913159755,0.6229948116273603,0.6229948116273605
8apsk,(0.6596054463884006-0.8271190682773576j),1.0579249964025075,-0.8975979010256554,0.6596054463884006,-0.8271190682773576,0.30017047823310194,0.003398910229811542,0.20608230053482,0.21559433560569227,0.09814413367504803,0.300170478233102,0.30017047823310206
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,-1.0,1.0,0.6229948116273603,0.010157523120623029,0.42905322979329125,0.48549294653303643,0.2558997913159755,0.6229948116273603,0.6229948116273605
128apsk,(-0.9143386109336903-0.8100333251005595j),1.221543729556015,-2.4166097335306107,-0.9143386109336903,-0.8100333251005595,0.2947024399809996,0.00610615682739531,0.21099864425220557,0.22082317566163853,0.10279588926479566,0.29470243998099965,0.29470243998099976
32apsk,(-0.7744391624998321+9.484144414897763e-17j),0.7744391624998321,3.141592653589793,-0.7744391624998321,9.484144414897763e-17,0.3333518416529628,0.0032550576736345965,0.2548329347422054,0.2957608120151945,0.17214481511356475,0.33335184165296283,0.3333518416529629
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,-1.0,-1.0,0.6026363796800502,0.053157999158866924,0.4788406377031405,0.47980324293281007,0.1885990807165601,0.6026363796800503,0.6026363796800505
64apsk,(0.36033111626533465+0j),0.36033111626533465,0.0,0.36033111626533465,0.0,0.3449227302092689,0.020677601788399187,0.24764212541741992,0.31557712205933497,0.19451003032370776,0.34492273020926895,0.34492273020926906
qpsk,(1+1j),1.4142135623730951,0.7853981633974483,1.0,1.0,0.5861896263785262,0.02737561268991273,0.46458241706009507,0.5160885651734289,0.2698200995846527,0.5861896263785263,0.5861896263785266
64apsk,(-0.49928944073565446-0.2882648930122676j),0.5765297860245354,-2.617993877991495,-0.49928944073565446,-0.2882648930122676,0.3166494974991135,0.0061599503209045095,0.25314538596378533,0.29230997272855663,0.157208188865006,0.3166494974991134,0.3166494974991136
128apsk,(-0.41568733062616203+0.5721445264427728j),0.7072095276376931,2.199114857512855,-0.41568733062616203,0.5721445264427728,0.3074305129321962,0.014904616426979338,0.2157027397953655,0.27461454096641247,0.1800794969838115,0.3074305129321963,0.3074305129321963
bpsk,(-1+0j),1.0,3.141592653589793,-1.0,0.0,0.2689962188270193,0.05998290756374857,0.26831417569605603,0.25903113428796004,0.09824975092738909,0.26899621882701924,0.2689962188270194
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,1.0,-1.0,0.6280833136959734,0.015296766199428583,0.40274457443429373,0.45756467747778734,0.25957934610736194,0.6280833136959734,0.6280833136959736
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,-1.0,1.0,0.6229948116273603,0.010157523120623029,0.42905322979329125,0.48549294653303643,0.2558997913159755,0.6229948116273603,0.6229948116273605
256apsk,(-0.17148031284650644-0.5277621357973548j),0.554921949174225,-1.884955592153876,-0.17148031284650644,-0.5277621357973548,0.336950702125009,0.013041676541566169,0.2502350618793492,0.29343012826139614,0.16433966294277813,0.33695070212500894,0.33695070212500905
64apsk,(5.295340178010418e-17+0.8647946790368032j),0.8647946790368032,1.5707963267948966,5.295340178010418e-17,0.8647946790368032,0.3266273870959923,0.03352407070462116,0.17400617203643182,0.20819971258630987,0.12449020481887019,0.32662738709599237,0.3266273870959925
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,-1.0,1.0,0.6983144505510692,0.12717226282817456,0.3449266902281711,0.5109390315992723,0.40593780331851936,0.6983144505510692,0.6983144505510694
256apsk,(-1.1563655660273877-0.1662602683179492j),1.1682567351036317,-2.9987929875175303,-1.1563655660273877,-0.1662602683179492,0.3094478409010683,7.369154991624502e-05,0.2301853511588072,0.2785013505090073,0.13019884823037184,0.30944784090106836,0.3094478409010684
16apsk,(-2.070711724938621e-16-1.1272429603813559j),1.1272429603813559,-1.5707963267948968,-2.070711724938621e-16,-1.1272429603813559,0.2881344709632068,0.015469690265645368,0.18827124040649396,0.23244781927254343,0.14238888920528686,0.2881344709632069,0.28813447096320693
256apsk,(0.9516338422362576-0.6776553913499507j),1.1682567351036317,-0.6187985529798079,0.9516338422362576,-0.6776553913499507,0.3193366890741914,0.01604905912561901,0.24139321305432268,0.2495211387988699,0.10624096052515614,0.3193366890741913,0.3193366890741915
8apsk,(-0.23541045825521645+1.0314006079876599j),1.0579249964025073,1.7951958020513104,-0.23541045825521645,1.0314006079876599,0.3198471677604453,0.002853888294256791,0.22648042418005912,0.2717553795509121,0.15710454933756635,0.3198471677604453,0.31984716776044536
128apsk,(0.6819172536986559-0.6819172536986562j),0.9643766285968539,-0.7853981633974485,0.6819172536986559,-0.6819172536986562,0.30300910738852754,0.01674199625344783,0.23081805807697098,0.2371146493942177,0.09484427926785813,0.30300910738852765,0.30300910738852765
128apsk,(0.415687330626162-0.5721445264427728j),0.707209527637693,-0.9424777960769383,0.415687330626162,-0.5721445264427728,0.2640481179908262,0.03887465319150374,0.24905010463100696,0.2516268305886334,0.09006930999809458,0.2640481179908262,0.2640481179908263
64apsk,(2.2063917408376744e-17+0.36033111626533465j),0.36033111626533465,1.5707963267948966,2.2063917408376744e-17,0.36033111626533465,0.31330460008509947,0.007743450454671292,0.20120603922174624,0.2263262254901797,0.12377136902445711,0.31330460008509947,0.3133046000850996
128apsk,(0.6725962296458454-0.21853976262392638j),0.707209527637693,-0.3141592653589796,0.6725962296458454,-0.21853976262392638,0.30130914466991376,0.02615045675804235,0.24546803944396928,0.24265341371698929,0.09641097730971744,0.30130914466991376,0.30130914466991393
64apsk,(0.2672362524674003+0.8224686147553274j),0.8647946790368031,1.2566370614359172,0.2672362524674003,0.8224686147553274,0.3166494974991135,0.0061599503209045095,0.25314538596378533,0.29230997272855663,0.157208188865006,0.3166494974991134,0.3166494974991136
32apsk,(-1.1420297074409331-0.4730441934550123j),1.2361240478362703,-2.748893571891069,-1.1420297074409331,-0.4730441934550123,0.2937422947397873,0.007769782043997515,0.22039421633862336,0.24609030945392987,0.1219916392552499,0.29374229473978725,0.2937422947397874
32apsk,(-0.874071696612791+0.8740716966127912j),1.2361240478362705,2.356194490192345,-0.874071696612791,0.8740716966127912,0.3333518416529628,0.0032550576736345965,0.2548329347422054,0.2957608120151945,0.17214481511356475,0.33335184165296283,0.3333518416529629
16apsk,(0.563621480190678+0.9762210399274296j),1.1272429603813559,1.0471975511965976,0.563621480190678,0.9762210399274296,0.3619717264618299,0.04657037774220915,0.20251807903053115,0.27952920931490466,0.20131122114360986,0.36197172646182985,0.36197172646183
128apsk,(-1.186047888840515+0.29233454909499845j),1.2215437295560152,2.8999316802367323,-1.186047888840515,0.29233454909499845,0.26550608212727317,0.012124667825402155,0.17253629975767903,0.17981904659738546,0.06470870932591148,0.2655060821272732,0.2655060821272733
8apsk,(-0.9531574863344378-0.459016453145049j),1.0579249964025073,-2.6927937030769655,-0.9531574863344378,-0.459016453145049,0.32773489697688823,0.013884993555191212,0.2142160176079407,0.25237926796108706,0.14222945811144788,0.3277348969768883,0.3277348969768884
32apsk,(-1.1420297074409331-0.4730441934550123j),1.2361240478362703,-2.748893571891069,-1.1420297074409331,-0.4730441934550123,0.346004570208564,0.016470024115385118,0.2674996512802489,0.2943844949898943,0.14876049807723052,0.346004570208564,0.3460045702085641
256apsk,(1.0383879992899725+0.5353262202111578j),1.1682567351036317,0.47599888690754444,1.0383879992899725,0.5353262202111578,0.3193366890741914,0.01604905912561901,0.24139321305432268,0.2495211387988699,0.10624096052515614,0.3193366890741913,0.3193366890741915
256apsk,(0.694547158017103-0.6253730700341704j),0.9346053880829054,-0.7330382858376184,0.694547158017103,-0.6253730700341704,0.3523341719085527,0.010953300778588717,0.24464064332328506,0.3116358064918641,0.21616851530431053,0.35233417190855265,0.3523341719085528
256apsk,(0.888862544500808-0.28880894795201095j),0.9346053880829054,-0.31415926535897953,0.888862544500808,-0.28880894795201095,0.3464729585838243,0.005479626662637778,0.23593099479098256,0.2793519871217286,0.16672872575701922,0.3464729585838242,0.34647295858382443
